amount_diff,net_diff,tax_ratio,days_diff,days_to_due,similarity_name,similarity_desc,label
0.0,230.0,0.23,4,-5,1.0000000000000002,0.8444932017012523,1
0.0,345.0,0.23,7,-2,1.0000000000000002,1.0,1
0.0,115.0,0.23,7,-5,1.0000000000000002,0.8444932017012523,1
0.0,552.0,0.23,8,-2,1.0000000000000002,0.8444932017012524,1
0.0,69.0,0.23,13,-2,1.0000000000000002,0.8444932017012523,1
0.0,230.0,0.23,6,-15,1.0000000000000002,0.6731941987222396,1
0.0,345.0,0.23,9,0,0.5380289691033573,0.6495101462986944,1
0.010000000000218279,459.9899999999998,0.23,17,7,1.0000000000000002,0.7444497035180325,1
0.0,966.0,0.23,10,-4,1.0,0.6191302964899972,1
0.0,1840.0,0.23,14,-1,0.6191302964899972,0.7444497035180325,1
0.0,2185.0,0.23,15,1,1.0,0.6731941987222396,1
0.0,46.0,0.23,21,5,0.6191302964899972,0.8444932017012523,1
0.0,920.0,0.23,13,-1,0.3667390112974172,0.7444497035180325,1
0.010000000000218279,414.0100000000002,0.23,14,0,0.5542053610680866,0.8444932017012523,1
0.0,73.60000000000002,0.22999999999999998,12,-2,0.6191302964899972,0.8068040741073459,1
0.0,345.0,0.23,9,-1,0.4609113656610101,1.0,1
0.0,46.0,0.23,11,-3,0.6191302964899972,0.8068040741073459,1
0.010000000000218279,2299.99,0.23,10,3,0.0,1.0,1
0.0,184.0,0.23,1,-2,0.0,0.6191302964899972,1
0.0,115.0,0.23,5,-2,1.0,0.6731941987222396,1
0.0,690.0,0.23,6,-3,0.0,0.7821081489297512,1
0.0,460.0,0.23,7,0,1.0000000000000002,0.8444932017012523,1
0.0,206.0,0.22889143212702362,9,-5,0.3014757552869787,0.8444932017012523,1
0.0,0.0,0.0,6,-1,1.0000000000000002,0.7444497035180325,1
0.0,230.0,0.23,4,-5,1.0000000000000002,0.8444932017012523,1
0.0,345.0,0.23,7,-2,1.0000000000000002,1.0,1
0.0,115.0,0.23,7,-5,1.0000000000000002,0.8444932017012523,1
0.0,552.0,0.23,8,-2,1.0000000000000002,0.8444932017012524,1
0.0,69.0,0.23,13,-2,1.0000000000000002,0.8444932017012523,1
0.0,230.0,0.23,6,-15,1.0000000000000002,0.6731941987222396,1
0.0,345.0,0.23,9,0,0.5380289691033573,0.6495101462986944,1
0.010000000000218279,459.9899999999998,0.23,17,7,1.0000000000000002,0.7444497035180325,1
0.0,966.0,0.23,10,-4,1.0,0.6191302964899972,1
0.0,1840.0,0.23,14,-1,0.6191302964899972,0.7444497035180325,1
0.0,2185.0,0.23,15,1,1.0,0.6731941987222396,1
0.0,46.0,0.23,21,5,0.6191302964899972,0.8444932017012523,1
0.0,920.0,0.23,13,-1,0.3667390112974172,0.7444497035180325,1
0.010000000000218279,414.0100000000002,0.23,14,0,0.5542053610680866,0.8444932017012523,1
0.0,73.60000000000002,0.22999999999999998,12,-2,0.6191302964899972,0.8068040741073459,1
0.0,345.0,0.23,9,-1,0.4609113656610101,1.0,1
0.0,46.0,0.23,11,-3,0.6191302964899972,0.8068040741073459,1
0.010000000000218279,2299.99,0.23,10,3,0.0,1.0,1
0.0,184.0,0.23,1,-2,0.0,0.6191302964899972,1
0.0,115.0,0.23,5,-2,1.0,0.6731941987222396,1
0.0,690.0,0.23,6,-3,0.0,0.7821081489297512,1
0.0,460.0,0.23,7,0,1.0000000000000002,0.8444932017012523,1
0.0,206.0,0.22889143212702362,9,-5,0.3014757552869787,0.8444932017012523,1
0.0,0.0,0.0,6,-1,1.0000000000000002,0.7444497035180325,1
0.0,414.0,0.23,14,0,0.6191302964899972,0.8068040741073459,1
0.0,69.0,0.23,14,-3,0.0,0.7779821951834232,1
0.0,920.0,0.23,8,1,1.0000000000000002,1.0,1
0.0,1035.0,0.23,13,-1,0.0,0.7444497035180325,1
0.0,172.5,0.23,13,-2,0.38332232403179184,1.0,1
